Season No.,Season,Club,Name,Position,Nationatility
1,2020/21,Fulham,Ivan Cavaleiro,Forward,Portugal
1,2020/21,Fulham,Aboubakar Kamara,Forward,Mauritania
1,2020/21,Fulham,Harry Arter,Midfielder,Ireland
1,2020/21,Fulham,Harrison Reed,Midfielder,England
1,2020/21,Fulham,Jayden Harris,Midfielder,England
1,2020/21,Fulham,Jay Stansfield,Forward,England
1,2020/21,Fulham,Matt O'Riley,Midfielder,England
1,2020/21,Fulham,Tyrese Francois,Midfielder,Australia
1,2020/21,Fulham,Benjamin Davis,Midfielder,Thailand
1,2020/21,Fulham,Sylvester Jasper,Forward,Bulgaria
1,2020/21,Fulham,Luca Ashby-Hammond,Goalkeeper,England
1,2020/21,Fulham,Jerome Opoku,Defender,England
1,2020/21,Fulham,Martell Taylor-Crossdale,Forward,England
1,2020/21,Fulham,Magnus Norman,Goalkeeper,England
1,2020/21,Fulham,Antonee Robinson,Defender,United States
1,2020/21,Fulham,Mario Lemina,Midfielder,Gabon
1,2020/21,Fulham,Harrison Reed,Midfielder,England
1,2020/21,Fulham,Alphonse Areola,Goalkeeper,France
1,2020/21,Fulham,Kenny Tete,Defender,Netherlands
1,2020/21,Fulham,Ola Aina,Defender,Nigeria
1,2020/21,Fulham,Fabio Carvalho,Midfielder,England
1,2020/21,Fulham,Ademola Lookman,Forward,England
1,2020/21,Fulham,Joachim Andersen,Defender,Denmark
1,2020/21,Fulham,Tosin Adarabioyo,Defender,England
1,2020/21,Fulham,Ruben Loftus-Cheek,Midfielder,England
1,2020/21,Fulham,Terence Kongolo,Defender,Netherlands
1,2020/21,Fulham,Josh Maja,Forward,Nigeria
1,2020/21,Fulham,Tyrese Francois,Midfielder,Australia
1,2020/21,Fulham,Sylvester Jasper,Forward,Bulgaria
1,2020/21,Leeds United,Illan Meslier,Goalkeeper,France
1,2020/21,Leeds United,Kiko Casilla,Goalkeeper,Spain
1,2020/21,Leeds United,Kamil Miazek,Goalkeeper,Poland
1,2020/21,Leeds United,Luke Ayling,Defender,England
1,2020/21,Leeds United,Barry Douglas,Defender,Scotland
1,2020/21,Leeds United,Liam Cooper,Defender,Scotland
1,2020/21,Leeds United,Gaetano Berardi,Defender,Switzerland
1,2020/21,Leeds United,Pascal Struijk,Defender,Netherlands
1,2020/21,Leeds United,Robbie Gotts,Defender,England
1,2020/21,Leeds United,Adam Forshaw,Midfielder,England
1,2020/21,Leeds United,Ezgjan Alioski,Midfielder,North Macedonia
1,2020/21,Leeds United,Stuart Dallas,Midfielder,Northern Ireland
1,2020/21,Leeds United,Pablo Hernández,Midfielder,Spain
1,2020/21,Leeds United,Kalvin Phillips,Midfielder,England
1,2020/21,Leeds United,Mateusz Klich,Midfielder,Poland
1,2020/21,Leeds United,Jamie Shackleton,Midfielder,England
1,2020/21,Leeds United,Jay-Roy Grot,Forward,Netherlands
